
6 Mot inconnu : Avidemux => ====== Avidemux ====== | avidemux
91 Mot inconnu : MKV => Beaucoup de télévisions ou de lecteurs de salon ne lisent pas encore le [[matroska]] (MKV), et ne reconnaissent que l'AVI. Il peut donc être utile de savoir convertir vers ce dernier format "conteneur", même s'il est beaucoup plus pauvre en fonctionnalités. | mkv
91 Mot inconnu : AVI => Beaucoup de télévisions ou de lecteurs de salon ne lisent pas encore le [[matroska]] (MKV), et ne reconnaissent que l'AVI. Il peut donc être utile de savoir convertir vers ce dernier format "conteneur", même s'il est beaucoup plus pauvre en fonctionnalités. | avi
91 Guillemets typographiques ouvrants. => Beaucoup de télévisions ou de lecteurs de salon ne lisent pas encore le [[matroska]] (MKV), et ne reconnaissent que l'AVI. Il peut donc être utile de savoir convertir vers ce dernier format "conteneur", même s'il est beaucoup plus pauvre en fonctionnalités. | " => suggestions : ['«\xa0', '“']
91 Guillemets typographiques fermants. => Beaucoup de télévisions ou de lecteurs de salon ne lisent pas encore le [[matroska]] (MKV), et ne reconnaissent que l'AVI. Il peut donc être utile de savoir convertir vers ce dernier format "conteneur", même s'il est beaucoup plus pauvre en fonctionnalités. | " => suggestions : ['\xa0»', '”']

93 Mot inconnu : Avidemux => //Les indications ci-dessous relèvent de la version 2.6 d'Avidemux :// | avidemux

95 Mot inconnu : Avidemux => Ouvrez Avidemux, cliquez sur "ouvrir" pour charger le film en MKV, à transcoder en AVI. Ce n'est pas obligatoire, mais le menu **Fichier > Informations** vous permettra d'avoir un aperçu des caractéristiques du fichier original (les codecs utilisés). Si la vidéo est **déjà** dans un format/codec supporté par le **conteneur** AVI (MPEG2,3,4, Xvid, DivX), le traitement sera évidement plus rapide, puisqu'il n'y aura rien à réencoder (juste à changer le conteneur).. | avidemux
95 Guillemets typographiques ouvrants. => Ouvrez Avidemux, cliquez sur "ouvrir" pour charger le film en MKV, à transcoder en AVI. Ce n'est pas obligatoire, mais le menu **Fichier > Informations** vous permettra d'avoir un aperçu des caractéristiques du fichier original (les codecs utilisés). Si la vidéo est **déjà** dans un format/codec supporté par le **conteneur** AVI (MPEG2,3,4, Xvid, DivX), le traitement sera évidement plus rapide, puisqu'il n'y aura rien à réencoder (juste à changer le conteneur).. | " => suggestions : ['«\xa0', '“']
95 Guillemets typographiques fermants. => Ouvrez Avidemux, cliquez sur "ouvrir" pour charger le film en MKV, à transcoder en AVI. Ce n'est pas obligatoire, mais le menu **Fichier > Informations** vous permettra d'avoir un aperçu des caractéristiques du fichier original (les codecs utilisés). Si la vidéo est **déjà** dans un format/codec supporté par le **conteneur** AVI (MPEG2,3,4, Xvid, DivX), le traitement sera évidement plus rapide, puisqu'il n'y aura rien à réencoder (juste à changer le conteneur).. | " => suggestions : ['\xa0»', '”']
95 Mot inconnu : MKV => Ouvrez Avidemux, cliquez sur "ouvrir" pour charger le film en MKV, à transcoder en AVI. Ce n'est pas obligatoire, mais le menu **Fichier > Informations** vous permettra d'avoir un aperçu des caractéristiques du fichier original (les codecs utilisés). Si la vidéo est **déjà** dans un format/codec supporté par le **conteneur** AVI (MPEG2,3,4, Xvid, DivX), le traitement sera évidement plus rapide, puisqu'il n'y aura rien à réencoder (juste à changer le conteneur).. | mkv
95 Mot inconnu : AVI => Ouvrez Avidemux, cliquez sur "ouvrir" pour charger le film en MKV, à transcoder en AVI. Ce n'est pas obligatoire, mais le menu **Fichier > Informations** vous permettra d'avoir un aperçu des caractéristiques du fichier original (les codecs utilisés). Si la vidéo est **déjà** dans un format/codec supporté par le **conteneur** AVI (MPEG2,3,4, Xvid, DivX), le traitement sera évidement plus rapide, puisqu'il n'y aura rien à réencoder (juste à changer le conteneur).. | avi
95 Mot inconnu : AVI => Ouvrez Avidemux, cliquez sur "ouvrir" pour charger le film en MKV, à transcoder en AVI. Ce n'est pas obligatoire, mais le menu **Fichier > Informations** vous permettra d'avoir un aperçu des caractéristiques du fichier original (les codecs utilisés). Si la vidéo est **déjà** dans un format/codec supporté par le **conteneur** AVI (MPEG2,3,4, Xvid, DivX), le traitement sera évidement plus rapide, puisqu'il n'y aura rien à réencoder (juste à changer le conteneur).. | avi
95 Mot inconnu : MPEG2 => Ouvrez Avidemux, cliquez sur "ouvrir" pour charger le film en MKV, à transcoder en AVI. Ce n'est pas obligatoire, mais le menu **Fichier > Informations** vous permettra d'avoir un aperçu des caractéristiques du fichier original (les codecs utilisés). Si la vidéo est **déjà** dans un format/codec supporté par le **conteneur** AVI (MPEG2,3,4, Xvid, DivX), le traitement sera évidement plus rapide, puisqu'il n'y aura rien à réencoder (juste à changer le conteneur).. | mpeg2
95 Il manque un espace. => Ouvrez Avidemux, cliquez sur "ouvrir" pour charger le film en MKV, à transcoder en AVI. Ce n'est pas obligatoire, mais le menu **Fichier > Informations** vous permettra d'avoir un aperçu des caractéristiques du fichier original (les codecs utilisés). Si la vidéo est **déjà** dans un format/codec supporté par le **conteneur** AVI (MPEG2,3,4, Xvid, DivX), le traitement sera évidement plus rapide, puisqu'il n'y aura rien à réencoder (juste à changer le conteneur).. | 3 => suggestions : [' 3']
95 Mot inconnu : Xvid => Ouvrez Avidemux, cliquez sur "ouvrir" pour charger le film en MKV, à transcoder en AVI. Ce n'est pas obligatoire, mais le menu **Fichier > Informations** vous permettra d'avoir un aperçu des caractéristiques du fichier original (les codecs utilisés). Si la vidéo est **déjà** dans un format/codec supporté par le **conteneur** AVI (MPEG2,3,4, Xvid, DivX), le traitement sera évidement plus rapide, puisqu'il n'y aura rien à réencoder (juste à changer le conteneur).. | xvid
95 Mot inconnu : DivX => Ouvrez Avidemux, cliquez sur "ouvrir" pour charger le film en MKV, à transcoder en AVI. Ce n'est pas obligatoire, mais le menu **Fichier > Informations** vous permettra d'avoir un aperçu des caractéristiques du fichier original (les codecs utilisés). Si la vidéo est **déjà** dans un format/codec supporté par le **conteneur** AVI (MPEG2,3,4, Xvid, DivX), le traitement sera évidement plus rapide, puisqu'il n'y aura rien à réencoder (juste à changer le conteneur).. | divx
95 Confusion probable : l’évidement est l’action de vider quelque chose. L’adverbe s’écrit “évidemment”. => Ouvrez Avidemux, cliquez sur "ouvrir" pour charger le film en MKV, à transcoder en AVI. Ce n'est pas obligatoire, mais le menu **Fichier > Informations** vous permettra d'avoir un aperçu des caractéristiques du fichier original (les codecs utilisés). Si la vidéo est **déjà** dans un format/codec supporté par le **conteneur** AVI (MPEG2,3,4, Xvid, DivX), le traitement sera évidement plus rapide, puisqu'il n'y aura rien à réencoder (juste à changer le conteneur).. | évidement => suggestions : ['évidemment']
95 Mot inconnu : réencoder => Ouvrez Avidemux, cliquez sur "ouvrir" pour charger le film en MKV, à transcoder en AVI. Ce n'est pas obligatoire, mais le menu **Fichier > Informations** vous permettra d'avoir un aperçu des caractéristiques du fichier original (les codecs utilisés). Si la vidéo est **déjà** dans un format/codec supporté par le **conteneur** AVI (MPEG2,3,4, Xvid, DivX), le traitement sera évidement plus rapide, puisqu'il n'y aura rien à réencoder (juste à changer le conteneur).. | réencoder
95 Typographie : un ou trois points ? => Ouvrez Avidemux, cliquez sur "ouvrir" pour charger le film en MKV, à transcoder en AVI. Ce n'est pas obligatoire, mais le menu **Fichier > Informations** vous permettra d'avoir un aperçu des caractéristiques du fichier original (les codecs utilisés). Si la vidéo est **déjà** dans un format/codec supporté par le **conteneur** AVI (MPEG2,3,4, Xvid, DivX), le traitement sera évidement plus rapide, puisqu'il n'y aura rien à réencoder (juste à changer le conteneur).. | .. => suggestions : ['…', '.']
97 Mot inconnu : AVI => Vous devez désormais faire 3 opérations : choisir un format de **sortie vidéo** (le choix du codec), choisir un format de **sortie Audio** (le choix du codec), et choisir le **format de sortie** AVI (le conteneur qui embarque les 2 codecs précédents). | avi

101 Guillemets typographiques ouvrants. => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | " => suggestions : ['«\xa0', '“']
101 Mot inconnu : MPEG4 => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | mpeg4
101 Mot inconnu : ASP => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | asp
101 Mot inconnu : Xvid => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | xvid
101 Mot inconnu : AVI => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | avi
101 Mot inconnu : MPEG2 => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | mpeg2
101 Il manque un espace. => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | 3 => suggestions : [' 3']
101 Mot inconnu : Xvid => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | xvid
101 Mot inconnu : DivX => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | divx

104 Guillemets typographiques ouvrants. => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | " => suggestions : ['«\xa0', '“']
104 Mot inconnu : MPEG4 => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | mpeg4
104 Mot inconnu : ASP => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | asp
104 Mot inconnu : Xvid => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | xvid
104 Mot inconnu : AVI => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | avi
104 Mot inconnu : MPEG2 => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | mpeg2
104 Il manque un espace. => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | 3 => suggestions : [' 3']
104 Mot inconnu : Xvid => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | xvid
104 Mot inconnu : DivX => En **Sortie Vidéo**, sélectionnez "MPEG4 ASP (Xvid)" (sauf si le format de fichier existant est déjà compatible avec AVI -> MPEG2,3,4, Xvid, DivX). Ne touchez pas aux autres options. | divx

105 Guillemets typographiques ouvrants. => Si ce format n'est pas lu par votre télé, essayez le codec "Mpeg4 AVC (x264)" (vous aurez un message déconseillant l'utilisation de ce codec avec un AVI, mais ce n'est pas bloquant). | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : Mpeg4 => Si ce format n'est pas lu par votre télé, essayez le codec "Mpeg4 AVC (x264)" (vous aurez un message déconseillant l'utilisation de ce codec avec un AVI, mais ce n'est pas bloquant). | mpeg4
105 Mot inconnu : x264 => Si ce format n'est pas lu par votre télé, essayez le codec "Mpeg4 AVC (x264)" (vous aurez un message déconseillant l'utilisation de ce codec avec un AVI, mais ce n'est pas bloquant). | x264
105 Mot inconnu : AVI => Si ce format n'est pas lu par votre télé, essayez le codec "Mpeg4 AVC (x264)" (vous aurez un message déconseillant l'utilisation de ce codec avec un AVI, mais ce n'est pas bloquant). | avi

109 Mot inconnu : AVI => Pour "**Format de sortie**", choisissez **AVI Muxer** (normalement déjà pré-sélectionné). Ne touchez pas aux autres options. | avi
109 Mot inconnu : Muxer => Pour "**Format de sortie**", choisissez **AVI Muxer** (normalement déjà pré-sélectionné). Ne touchez pas aux autres options. | muxer

111 Guillemets typographiques ouvrants. => Cliquez ensuite sur "**Fichier > Sauver**" (ou sur l'icône de la disquette). Dans la fenêtre qui s'ouvre, sélectionnez l'emplacement, un nom pour le fichier (Par exemple "Film.[XviD].avi") et sauvegardez. Le réencodage va commencer, cela peut prendre pas mal de temps: l'encodage vidéo est très coûteux en terme de puissance processeur. | " => suggestions : ['«\xa0', '“']
111 Mot inconnu : XviD => Cliquez ensuite sur "**Fichier > Sauver**" (ou sur l'icône de la disquette). Dans la fenêtre qui s'ouvre, sélectionnez l'emplacement, un nom pour le fichier (Par exemple "Film.[XviD].avi") et sauvegardez. Le réencodage va commencer, cela peut prendre pas mal de temps: l'encodage vidéo est très coûteux en terme de puissance processeur. | xvid
111 Mot inconnu : avi => Cliquez ensuite sur "**Fichier > Sauver**" (ou sur l'icône de la disquette). Dans la fenêtre qui s'ouvre, sélectionnez l'emplacement, un nom pour le fichier (Par exemple "Film.[XviD].avi") et sauvegardez. Le réencodage va commencer, cela peut prendre pas mal de temps: l'encodage vidéo est très coûteux en terme de puissance processeur. | avi
111 Guillemets typographiques fermants. => Cliquez ensuite sur "**Fichier > Sauver**" (ou sur l'icône de la disquette). Dans la fenêtre qui s'ouvre, sélectionnez l'emplacement, un nom pour le fichier (Par exemple "Film.[XviD].avi") et sauvegardez. Le réencodage va commencer, cela peut prendre pas mal de temps: l'encodage vidéo est très coûteux en terme de puissance processeur. | " => suggestions : ['\xa0»', '”']
111 Mot inconnu : réencodage => Cliquez ensuite sur "**Fichier > Sauver**" (ou sur l'icône de la disquette). Dans la fenêtre qui s'ouvre, sélectionnez l'emplacement, un nom pour le fichier (Par exemple "Film.[XviD].avi") et sauvegardez. Le réencodage va commencer, cela peut prendre pas mal de temps: l'encodage vidéo est très coûteux en terme de puissance processeur. | réencodage
111 Dans la locution “en termes de”, mettez “terme” au pluriel. => Cliquez ensuite sur "**Fichier > Sauver**" (ou sur l'icône de la disquette). Dans la fenêtre qui s'ouvre, sélectionnez l'emplacement, un nom pour le fichier (Par exemple "Film.[XviD].avi") et sauvegardez. Le réencodage va commencer, cela peut prendre pas mal de temps: l'encodage vidéo est très coûteux en terme de puissance processeur. | en terme de => suggestions : ['en termes de']

116 Espace(s) en fin de ligne à supprimer. => //Ouvrez// la vidéo dont vous voulez extraire la bande son,    |     => suggestions : ['']

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sur la partie gauche d'Avidemux , //Allez// dans la liste déroulante **Vidéo**\\ et laissez : copier . |    => suggestions : ['']
118 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sur la partie gauche d'Avidemux , //Allez// dans la liste déroulante **Vidéo**\\ et laissez : copier . |  -  => suggestions : [' – ', ' — ', ' − ']
118 Mot inconnu : Avidemux =>   - Sur la partie gauche d'Avidemux , //Allez// dans la liste déroulante **Vidéo**\\ et laissez : copier . | avidemux
118 Pas d’espace avant une virgule. =>   - Sur la partie gauche d'Avidemux , //Allez// dans la liste déroulante **Vidéo**\\ et laissez : copier . |  , => suggestions : [',']

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - //Ouvrez// la liste déroulante **Audio** et choisissez le format Audio voulu (par exemple : MP3 (LAME)). |    => suggestions : ['']
119 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - //Ouvrez// la liste déroulante **Audio** et choisissez le format Audio voulu (par exemple : MP3 (LAME)). |  -  => suggestions : [' – ', ' — ', ' − ']

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cliquez sur le bouton **Configurer** et choisissez le débit qui va bien. Validez le tout. |    => suggestions : ['']
120 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cliquez sur le bouton **Configurer** et choisissez le débit qui va bien. Validez le tout. |  -  => suggestions : [' – ', ' — ', ' − ']

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  1. Cliquez sur **Enregistrer**. Choisissez le répertoire que vous voulez et donnez un nom à votre future musique (par exemple musique.mp3 (indiquez bien l'extension !). |   => suggestions : ['']

125 Guillemets typographiques ouvrants. => **Ne cliquez pas sur le bouton "Enregistrer"** présent sur l'interface ! Mais allez bien __dans le menu__ "Audio" -> "Enregistrer" ! | " => suggestions : ['«\xa0', '“']
125 Guillemets typographiques fermants. => **Ne cliquez pas sur le bouton "Enregistrer"** présent sur l'interface ! Mais allez bien __dans le menu__ "Audio" -> "Enregistrer" ! | " => suggestions : ['\xa0»', '”']
125 Mot inconnu : __dans => **Ne cliquez pas sur le bouton "Enregistrer"** présent sur l'interface ! Mais allez bien __dans le menu__ "Audio" -> "Enregistrer" ! | __dans
125 Mot inconnu : menu__ => **Ne cliquez pas sur le bouton "Enregistrer"** présent sur l'interface ! Mais allez bien __dans le menu__ "Audio" -> "Enregistrer" ! | menu__
125 Guillemets typographiques ouvrants. => **Ne cliquez pas sur le bouton "Enregistrer"** présent sur l'interface ! Mais allez bien __dans le menu__ "Audio" -> "Enregistrer" ! | " => suggestions : ['«\xa0', '“']
125 Guillemets typographiques fermants. => **Ne cliquez pas sur le bouton "Enregistrer"** présent sur l'interface ! Mais allez bien __dans le menu__ "Audio" -> "Enregistrer" ! | " => suggestions : ['\xa0»', '”']
125 Guillemets typographiques ouvrants. => **Ne cliquez pas sur le bouton "Enregistrer"** présent sur l'interface ! Mais allez bien __dans le menu__ "Audio" -> "Enregistrer" ! | " => suggestions : ['«\xa0', '“']
125 Guillemets typographiques fermants. => **Ne cliquez pas sur le bouton "Enregistrer"** présent sur l'interface ! Mais allez bien __dans le menu__ "Audio" -> "Enregistrer" ! | " => suggestions : ['\xa0»', '”']

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  2. Cliquez sur **Enregistrer** et le travail commence. |   => suggestions : ['']

131 Mot inconnu : Avidemux => Avec Avidemux, il est possible de traiter plusieurs vidéo avec les même paramètres. Il existe deux méthodes. La première méthode utilise un script en bash et ligne de commande mais reste limité en nombre de paramètres disponibles. La seconde méthode utilise le javascript mais permet d'utiliser la totalité des paramètres existant dans Avidemux. | avidemux
131 Accord de nombre erroné : « même » devrait être au pluriel. => Avec Avidemux, il est possible de traiter plusieurs vidéo avec les même paramètres. Il existe deux méthodes. La première méthode utilise un script en bash et ligne de commande mais reste limité en nombre de paramètres disponibles. La seconde méthode utilise le javascript mais permet d'utiliser la totalité des paramètres existant dans Avidemux. | même => suggestions : ['mêmes']
131 Mot inconnu : bash => Avec Avidemux, il est possible de traiter plusieurs vidéo avec les même paramètres. Il existe deux méthodes. La première méthode utilise un script en bash et ligne de commande mais reste limité en nombre de paramètres disponibles. La seconde méthode utilise le javascript mais permet d'utiliser la totalité des paramètres existant dans Avidemux. | bash
131 Mot inconnu : javascript => Avec Avidemux, il est possible de traiter plusieurs vidéo avec les même paramètres. Il existe deux méthodes. La première méthode utilise un script en bash et ligne de commande mais reste limité en nombre de paramètres disponibles. La seconde méthode utilise le javascript mais permet d'utiliser la totalité des paramètres existant dans Avidemux. | javascript
131 Mot inconnu : Avidemux => Avec Avidemux, il est possible de traiter plusieurs vidéo avec les même paramètres. Il existe deux méthodes. La première méthode utilise un script en bash et ligne de commande mais reste limité en nombre de paramètres disponibles. La seconde méthode utilise le javascript mais permet d'utiliser la totalité des paramètres existant dans Avidemux. | avidemux

133 Mot inconnu : bash => === Script en bash === | bash

136 Mot inconnu : command_line_usage => La liste des paramètres disponibles est consultable sur le [[http://www.avidemux.org/admWiki/doku.php?id=using:command_line_usage|wiki d'Avidemux]]. | command_line_usage
136 Mot inconnu : Avidemux => La liste des paramètres disponibles est consultable sur le [[http://www.avidemux.org/admWiki/doku.php?id=using:command_line_usage|wiki d'Avidemux]]. | avidemux

138 Il manque un trait d’union. => L'exemple ci dessous permet : | ci dessous => suggestions : ['ci-dessous']

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La conversion et le ré-encodage des vidéos MOV et AVI au format AVI ; |    => suggestions : ['']
139 Mot inconnu : MOV =>   * La conversion et le ré-encodage des vidéos MOV et AVI au format AVI ; | mov
139 Mot inconnu : AVI =>   * La conversion et le ré-encodage des vidéos MOV et AVI au format AVI ; | avi
139 Mot inconnu : AVI =>   * La conversion et le ré-encodage des vidéos MOV et AVI au format AVI ; | avi

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'encodage en une seule passe avec une qualité de 3000 kb/s ; |    => suggestions : ['']
140 Si “kb/s” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * L'encodage en une seule passe avec une qualité de 3000 kb/s ; | 3000 kb/s => suggestions : ['3\xa0000\xa0kb/s']
140 Mot inconnu : kb =>   * L'encodage en une seule passe avec une qualité de 3000 kb/s ; | kb

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * D'utiliser « le mode sûr » pour les vidéos utilisant le codec H.264 ; |    => suggestions : ['']

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le codec audio utilisé est le MP3 ; |    => suggestions : ['']

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'enregistrement des vidéos converties dans un répertoire spécifique pour éviter l'écrasement des vidéos à convertir. |    => suggestions : ['']

148 Mot inconnu : mkdir => mkdir ./conversion | mkdir

150 Mot inconnu : avidemux => #Paramètres pour avidemux | avidemux

151 Mot inconnu : video_codec => video_codec="Xvid" | video_codec
151 Guillemets typographiques ouvrants. => video_codec="Xvid" | " => suggestions : ['«\xa0', '“']
151 Mot inconnu : Xvid => video_codec="Xvid" | xvid
151 Guillemets typographiques fermants. => video_codec="Xvid" | " => suggestions : ['\xa0»', '”']

152 Mot inconnu : quality => quality="cbr=3000" | quality
152 Guillemets typographiques ouvrants. => quality="cbr=3000" | " => suggestions : ['«\xa0', '“']
152 Mot inconnu : cbr => quality="cbr=3000" | cbr
152 Guillemets typographiques fermants. => quality="cbr=3000" | " => suggestions : ['\xa0»', '”']

153 Mot inconnu : audio_codec => audio_codec="MP3" | audio_codec
153 Guillemets typographiques ouvrants. => audio_codec="MP3" | " => suggestions : ['«\xa0', '“']
153 Guillemets typographiques fermants. => audio_codec="MP3" | " => suggestions : ['\xa0»', '”']

154 Mot inconnu : output_format => output_format="AVI" | output_format
154 Guillemets typographiques ouvrants. => output_format="AVI" | " => suggestions : ['«\xa0', '“']
154 Mot inconnu : AVI => output_format="AVI" | avi
154 Guillemets typographiques fermants. => output_format="AVI" | " => suggestions : ['\xa0»', '”']

156 Mot inconnu : avidemux => #Commande pour avidemux pour les vidéos MOV et AVI | avidemux
156 Mot inconnu : MOV => #Commande pour avidemux pour les vidéos MOV et AVI | mov
156 Mot inconnu : AVI => #Commande pour avidemux pour les vidéos MOV et AVI | avi

157 Mot inconnu : shopt => shopt -s nocaseglob | shopt
157 Il manque un espace à côté du tiret. => shopt -s nocaseglob |  - => suggestions : [' – ', ' — ']
157 Mot inconnu : nocaseglob => shopt -s nocaseglob | nocaseglob

158 Mot inconnu : mov => for file in *.{mov,avi}; do | mov
158 Il manque un espace. => for file in *.{mov,avi}; do | avi => suggestions : [' avi']
158 Mot inconnu : avi => for file in *.{mov,avi}; do | avi

159 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   avidemux --force-alt-h264 --video-codec "$video_codec" --video-conf "$quality" --audio-codec "$audio_codec" --load "$file" --save "./conversion/${file%.*}.${output_format,,}" --output-format "$output_format" --quit |    => suggestions : ['']
159 Mot inconnu : avidemux =>   avidemux --force-alt-h264 --video-codec "$video_codec" --video-conf "$quality" --audio-codec "$audio_codec" --load "$file" --save "./conversion/${file%.*}.${output_format,,}" --output-format "$output_format" --quit | avidemux
159 Mot inconnu : force-alt-h264 =>   avidemux --force-alt-h264 --video-codec "$video_codec" --video-conf "$quality" --audio-codec "$audio_codec" --load "$file" --save "./conversion/${file%.*}.${output_format,,}" --output-format "$output_format" --quit | force-alt-h264
159 Mot inconnu : video-codec =>   avidemux --force-alt-h264 --video-codec "$video_codec" --video-conf "$quality" --audio-codec "$audio_codec" --load "$file" --save "./conversion/${file%.*}.${output_format,,}" --output-format "$output_format" --quit | video-codec
159 Mot inconnu : video_codec =>   avidemux --force-alt-h264 --video-codec "$video_codec" --video-conf "$quality" --audio-codec "$audio_codec" --load "$file" --save "./conversion/${file%.*}.${output_format,,}" --output-format "$output_format" --quit | video_codec
159 Guillemets typographiques fermants. =>   avidemux --force-alt-h264 --video-codec "$video_codec" --video-conf "$quality" --audio-codec "$audio_codec" --load "$file" --save "./conversion/${file%.*}.${output_format,,}" --output-format "$output_format" --quit | " => suggestions : ['\xa0»', '”']
159 Mot inconnu : video-conf =>   avidemux --force-alt-h264 --video-codec "$video_codec" --video-conf "$quality" --audio-codec "$audio_codec" --load "$file" --save "./conversion/${file%.*}.${output_format,,}" --output-format "$output_format" --quit | video-conf
159 Mot inconnu : quality =>   avidemux --force-alt-h264 --video-codec "$video_codec" --video-conf "$quality" --audio-codec "$audio_codec" --load "$file" --save "./conversion/${file%.*}.${output_format,,}" --output-format "$output_format" --quit | quality
159 Guillemets typographiques fermants. =>   avidemux --force-alt-h264 --video-codec "$video_codec" --video-conf "$quality" --audio-codec "$audio_codec" --load "$file" --save "./conversion/${file%.*}.${output_format,,}" --output-format "$output_format" --quit | " => suggestions : ['\xa0»', '”']
159 Mot inconnu : audio_codec =>   avidemux --force-alt-h264 --video-codec "$video_codec" --video-conf "$quality" --audio-codec "$audio_codec" --load "$file" --save "./conversion/${file%.*}.${output_format,,}" --output-format "$output_format" --quit | audio_codec
159 Guillemets typographiques fermants. =>   avidemux --force-alt-h264 --video-codec "$video_codec" --video-conf "$quality" --audio-codec "$audio_codec" --load "$file" --save "./conversion/${file%.*}.${output_format,,}" --output-format "$output_format" --quit | " => suggestions : ['\xa0»', '”']
