5 Mot inconnu : Averatec => ====== Liste des portables « Averatec » ====== <|> averatec

8 Mot inconnu : AV2460-FY1 => |AV2460-FY1 | oui | oui | Comme pour Hardy, plusieurs solutions. [1] Utiliser le CD patché http://www.fitzenreiter.de/averatec/index-e.htm à la place du CD d'installation normal. [2] Utiliser l'Alternate CD normal avec l'option **sdhci.blacklist=yes** . Ensuite tout fonctionne directement (touches multimédia, WIFI, résolution d'écran, sortie VGA, etc.), sauf le lecteur de cartes SD  | Intrepid | <|> av2460-fy1
11 Mot inconnu : Device => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> device
11 Guillemets typographiques ouvrants. => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> " => suggestions : ['«\xa0', '“']
11 Mot inconnu : vesa => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> vesa
11 Guillemets typographiques fermants. => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> " => suggestions : ['\xa0»', '”']
11 Guillemets typographiques ouvrants. => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> " => suggestions : ['«\xa0', '“']
11 Mot inconnu : i810 => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> i810
11 Guillemets typographiques fermants. => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> " => suggestions : ['\xa0»', '”']
11 Mot inconnu : rebooter => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> rebooter
11 Mot inconnu : alt => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> alt
11 Mot inconnu : f1 => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> f1
11 Mot inconnu : sudo => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> sudo
11 Mot inconnu : pkill => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> pkill
11 Mot inconnu : gdm => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> gdm
11 Pas d’espace avant une virgule. => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|>  , => suggestions : [',']
11 Mot inconnu : sudo => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> sudo
11 Mot inconnu : apt-get => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> apt-get
11 Mot inconnu : install => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> install
11 Mot inconnu : resolution => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> resolution
11 Mot inconnu : Universe => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> universe
11 Mot inconnu : sudo => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> sudo
11 Mot inconnu : gdm => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> gdm
11 Pas d’espace avant un point. => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|>  . => suggestions : ['.']
11 Signe de multiplication typographique. => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> 1280*800 => suggestions : ['1280\xa0×\xa0800']
11 Mot inconnu : Edgy => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> edgy

12 Mot inconnu : AV2460-FY1 => |AV2460-FY1 | oui | oui | Même problème que pour Edgy. | Dapper | <|> av2460-fy1
12 Mot inconnu : Edgy => |AV2460-FY1 | oui | oui | Même problème que pour Edgy. | Dapper | <|> edgy
12 Mot inconnu : Dapper => |AV2460-FY1 | oui | oui | Même problème que pour Edgy. | Dapper | <|> dapper

